Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS AIRLANGGA,ILMU HUBUNGAN INTERNASIONAL,42,938,4.48
UNIVERSITAS GADJAH MADA,ILMU HUBUNGAN INTERNASIONAL,28,1904,1.47
UNIVERSITAS HASANUDDIN,ILMU HUBUNGAN INTERNASIONAL,60,902,6.65
UNIVERSITAS INDONESIA,ILMU HUBUNGAN INTERNASIONAL,17,1627,1.04
UNIVERSITAS ISLAM NEGERI JAKARTA,ILMU HUBUNGAN INTERNASIONAL,48,610,7.87
UNIVERSITAS MARITIM RAJA ALI HAJI,ILMU HUBUNGAN INTERNASIONAL,32,62,51.61
UNIVERSITAS MULAWARMAN,ILMU HUBUNGAN INTERNASIONAL,32,303,10.56
UNIVERSITAS PADJADJARAN,ILMU HUBUNGAN INTERNASIONAL,42,1902,2.21
UNIVERSITAS SRIWIJAYA,ILMU HUBUNGAN INTERNASIONAL,125,553,22.6
UNIVERSITAS SULAWESI BARAT,ILMU HUBUNGAN INTERNASIONAL,50,57,87.72
UNIVERSITAS TANJUNGPURA,ILMU HUBUNGAN INTERNASIONAL,60,396,15.15
"UPN ""VETERAN"" JAWA TIMUR",ILMU HUBUNGAN INTERNASIONAL,90,405,22.22
"UPN ""VETERAN"" YOGYAKARTA",ILMU HUBUNGAN INTERNASIONAL,100,839,11.92
