Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT PERTANIAN BOGOR,MANAJEMEN SUMBERDAYA PERAIRAN,S1,34,233,14.59
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN SUMBERDAYA PERAIRAN,S1,25,100,25.0
UNIVERSITAS BRAWIJAYA,MANAJEMEN SUMBERDAYA PERAIRAN,S1,64,329,19.45
UNIVERSITAS DIPONEGORO,MANAJEMEN SUMBERDAYA PERAIRAN,S1,48,266,18.05
UNIVERSITAS HALUOLEO,MANAJEMEN SUMBERDAYA PERAIRAN,S1,24,16,100.0
UNIVERSITAS HASANUDDIN,MANAJEMEN SUMBERDAYA PERAIRAN,S1,70,172,40.7
UNIVERSITAS JENDERAL SOEDIRMAN,MANAJEMEN SUMBERDAYA PERAIRAN,S1,40,516,7.75
UNIVERSITAS KHAIRUN,MANAJEMEN SUMBERDAYA PERAIRAN,S1,24,13,100.0
UNIVERSITAS MARITIM RAJA ALI HAJI,MANAJEMEN SUMBERDAYA PERAIRAN,S1,32,44,72.73
UNIVERSITAS MUSAMUS MERAUKE,MANAJEMEN SUMBERDAYA PERAIRAN,S1,22,3,100.0
UNIVERSITAS PALANGKARAYA,MANAJEMEN SUMBERDAYA PERAIRAN,S1,37,47,78.72
UNIVERSITAS PAPUA,MANAJEMEN SUMBERDAYA PERAIRAN,S1,16,5,100.0
UNIVERSITAS RIAU,MANAJEMEN SUMBERDAYA PERAIRAN,S1,48,161,29.81
UNIVERSITAS SAM RATULANGI,MANAJEMEN SUMBERDAYA PERAIRAN,S1,25,16,100.0
UNIVERSITAS TRUNOJOYO MADURA,MANAJEMEN SUMBERDAYA PERAIRAN,S1,45,67,67.16
