Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,PENDIDIKAN IPA,S1,40,73,54.79
UNIVERSITAS JEMBER,PENDIDIKAN IPA,S1,68,246,27.64
UNIVERSITAS LAMBUNG MANGKURAT,PENDIDIKAN IPA,S1,50,69,72.46
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN IPA,S1,29,103,28.16
UNIVERSITAS NEGERI MANADO,PENDIDIKAN IPA,S1,24,14,100.0
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN IPA,S1,35,307,11.4
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN IPA,S1,60,406,14.78
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN IPA,S1,53,435,12.18
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN IPA,S1,24,26,92.31
UNIVERSITAS SEBELAS MARET,PENDIDIKAN IPA,S1,24,293,8.19
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN IPA,S1,40,135,29.63
