Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SUMATERA,TEKNIK PERTAMBANGAN,102,297,34.34
UNIVERSITAS BANGKA BELITUNG,TEKNIK PERTAMBANGAN,24,49,48.98
UNIVERSITAS CENDERAWASIH,TEKNIK PERTAMBANGAN,32,39,82.05
UNIVERSITAS HALUOLEO,TEKNIK PERTAMBANGAN,40,418,9.57
UNIVERSITAS HASANUDDIN,TEKNIK PERTAMBANGAN,50,768,6.51
UNIVERSITAS ISLAM NEGERI JAKARTA,TEKNIK PERTAMBANGAN,24,188,12.77
UNIVERSITAS JAMBI,TEKNIK PERTAMBANGAN,36,198,18.18
UNIVERSITAS JEMBER,TEKNIK PERTAMBANGAN,30,187,16.04
UNIVERSITAS KHAIRUN,TEKNIK PERTAMBANGAN,20,79,25.32
UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK PERTAMBANGAN,30,120,25.0
UNIVERSITAS MULAWARMAN,TEKNIK PERTAMBANGAN,25,206,12.14
UNIVERSITAS NUSA CENDANA,TEKNIK PERTAMBANGAN,18,91,19.78
UNIVERSITAS PALANGKARAYA,TEKNIK PERTAMBANGAN,25,131,19.08
UNIVERSITAS PAPUA,TEKNIK PERTAMBANGAN,16,16,100.0
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,TEKNIK PERTAMBANGAN,45,64,70.31
UNIVERSITAS SRIWIJAYA,TEKNIK PERTAMBANGAN,60,912,6.58
UNIVERSITAS SYIAH KUALA,TEKNIK PERTAMBANGAN,36,288,12.5
UNIVERSITAS TANJUNGPURA,TEKNIK PERTAMBANGAN,22,100,22.0
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK PERTAMBANGAN,85,1425,5.96
