Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS CENDERAWASIH,PEND. BIOLOGI,S1,15,9,100.0
UNIVERSITAS JAMBI,PEND. BIOLOGI,S1,30,179,16.76
UNIVERSITAS KHAIRUN,PEND. BIOLOGI,S1,24,15,100.0
UNIVERSITAS LAMBUNG MANGKURAT,PEND. BIOLOGI,S1,20,126,15.87
UNIVERSITAS LAMPUNG,PEND. BIOLOGI,S1,28,340,8.24
UNIVERSITAS NEGERI MANADO,PEND. BIOLOGI,S1,27,57,47.37
UNIVERSITAS NEGERI SURABAYA,PEND. BIOLOGI,S1,25,483,5.18
UNIVERSITAS NUSA CENDANA,PEND. BIOLOGI,S1,22,31,70.97
UNIVERSITAS PALANGKARAYA,PEND. BIOLOGI,S1,8,55,14.55
UNIVERSITAS PATTIMURA,PEND. BIOLOGI,S1,20,26,76.92
UNIVERSITAS RIAU,PEND. BIOLOGI,S1,24,379,6.33
UNIVERSITAS SULAWESI BARAT,PEND. BIOLOGI,S1,28,33,84.85
UNIVERSITAS TADULAKO,PEND. BIOLOGI,S1,40,80,50.0
UNIVERSITAS TANJUNGPURA,PEND. BIOLOGI,S1,22,121,18.18
UNIVERSITAS TIMOR,PEND. BIOLOGI,S1,24,6,100.0
