Universitas,Jurusan,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS BENGKULU,PENDIDIKAN BAHASA INGGRIS,24,234,10.26
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BAHASA INGGRIS,24,59,40.68
UNIVERSITAS BRAWIJAYA,PENDIDIKAN BAHASA INGGRIS,51,281,18.15
UNIVERSITAS HALUOLEO,PENDIDIKAN BAHASA INGGRIS,39,151,25.83
UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA,PENDIDIKAN BAHASA INGGRIS,31,240,12.92
UNIVERSITAS JEMBER,PENDIDIKAN BAHASA INGGRIS,40,263,15.21
UNIVERSITAS JENDERAL SOEDIRMAN,PENDIDIKAN BAHASA INGGRIS,18,115,15.65
UNIVERSITAS MARITIM RAJA ALI HAJI,PENDIDIKAN BAHASA INGGRIS,45,62,72.58
UNIVERSITAS MATARAM,PENDIDIKAN BAHASA INGGRIS,44,275,16.0
UNIVERSITAS MULAWARMAN,PENDIDIKAN BAHASA INGGRIS,24,189,12.7
UNIVERSITAS MUSAMUS MERAUKE,PENDIDIKAN BAHASA INGGRIS,20,3,100.0
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN BAHASA INGGRIS,45,147,30.61
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN BAHASA INGGRIS,19,442,4.3
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN BAHASA INGGRIS,49,477,10.27
UNIVERSITAS NEGERI MALANG,PENDIDIKAN BAHASA INGGRIS,36,477,7.55
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN BAHASA INGGRIS,44,669,6.58
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN BAHASA INGGRIS,54,726,7.44
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN BAHASA INGGRIS,80,524,15.27
UNIVERSITAS PAPUA,PENDIDIKAN BAHASA INGGRIS,12,5,100.0
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN BAHASA INGGRIS,71,245,28.98
UNIVERSITAS PENDIDIKAN INDONESIA,PENDIDIKAN BAHASA INGGRIS,20,593,3.37
UNIVERSITAS SAMUDRA,PENDIDIKAN BAHASA INGGRIS,32,67,47.76
UNIVERSITAS SEBELAS MARET,PENDIDIKAN BAHASA INGGRIS,16,348,4.6
UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA,PENDIDIKAN BAHASA INGGRIS,30,19,100.0
UNIVERSITAS SILIWANGI,PENDIDIKAN BAHASA INGGRIS,24,320,7.5
UNIVERSITAS SULTAN AGENG TIRTAYASA,PENDIDIKAN BAHASA INGGRIS,24,367,6.54
UNIVERSITAS SYIAH KUALA,PENDIDIKAN BAHASA INGGRIS,30,0,100.0
UNIVERSITAS TIDAR,PENDIDIKAN BAHASA INGGRIS,40,212,18.87
