Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK INDUSTRI,S1,40,113,35.4
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,TEKNIK INDUSTRI,S1,40,683,5.86
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INDUSTRI,S1,88,367,23.98
UNIVERSITAS AIRLANGGA,TEKNIK INDUSTRI,S1,24,330,7.27
UNIVERSITAS ANDALAS,TEKNIK INDUSTRI,S1,39,552,7.07
UNIVERSITAS BRAWIJAYA,TEKNIK INDUSTRI,S1,60,980,6.12
UNIVERSITAS DIPONEGORO,TEKNIK INDUSTRI,S1,40,841,4.76
UNIVERSITAS GADJAH MADA,TEKNIK INDUSTRI,S1,28,539,5.19
UNIVERSITAS HASANUDDIN,TEKNIK INDUSTRI,S1,20,390,5.13
UNIVERSITAS INDONESIA,TEKNIK INDUSTRI,S1,22,512,4.3
UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,TEKNIK INDUSTRI,S1,12,126,9.52
UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA,TEKNIK INDUSTRI,S1,15,238,6.3
UNIVERSITAS JENDERAL SOEDIRMAN,TEKNIK INDUSTRI,S1,26,201,12.94
UNIVERSITAS MALIKUSSALEH,TEKNIK INDUSTRI,S1,125,257,48.64
UNIVERSITAS MULAWARMAN,TEKNIK INDUSTRI,S1,15,163,9.2
UNIVERSITAS NEGERI GORONTALO,TEKNIK INDUSTRI,S1,20,24,83.33
UNIVERSITAS NEGERI MALANG,TEKNIK INDUSTRI,S1,18,184,9.78
UNIVERSITAS PATTIMURA,TEKNIK INDUSTRI,S1,40,30,100.0
UNIVERSITAS SAMUDRA,TEKNIK INDUSTRI,S1,16,37,43.24
UNIVERSITAS SEBELAS MARET,TEKNIK INDUSTRI,S1,24,713,3.37
UNIVERSITAS SINGAPERBANGSA KARAWANG,TEKNIK INDUSTRI,S1,52,671,7.75
UNIVERSITAS SULTAN AGENG TIRTAYASA,TEKNIK INDUSTRI,S1,24,487,4.93
UNIVERSITAS SUMATERA UTARA,TEKNIK INDUSTRI,S1,36,812,4.43
UNIVERSITAS SYIAH KUALA,TEKNIK INDUSTRI,S1,30,245,12.24
UNIVERSITAS TANJUNGPURA,TEKNIK INDUSTRI,S1,14,70,20.0
UNIVERSITAS TEUKU UMAR,TEKNIK INDUSTRI,S1,24,40,60.0
UNIVERSITAS TRUNOJOYO MADURA,TEKNIK INDUSTRI,S1,60,297,20.2
UNIVERSITAS UDAYANA,TEKNIK INDUSTRI,S1,18,53,33.96
"UPN ""VETERAN"" JAKARTA",TEKNIK INDUSTRI,S1,21,453,4.64
"UPN ""VETERAN"" JAWA TIMUR",TEKNIK INDUSTRI,S1,50,591,8.46
"UPN ""VETERAN"" YOGYAKARTA",TEKNIK INDUSTRI,S1,32,565,5.66
