Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS NEGERI GORONTALO,PENDIDIKAN SENI RUPA,S1,20,29,68.97
UNIVERSITAS NEGERI JAKARTA,PENDIDIKAN SENI RUPA,S1,18,80,22.5
UNIVERSITAS NEGERI MAKASSAR,PENDIDIKAN SENI RUPA,S1,24,39,61.54
UNIVERSITAS NEGERI MALANG,PENDIDIKAN SENI RUPA,S1,32,130,24.62
UNIVERSITAS NEGERI MEDAN,PENDIDIKAN SENI RUPA,S1,22,61,36.07
UNIVERSITAS NEGERI PADANG,PENDIDIKAN SENI RUPA,S1,32,66,48.48
UNIVERSITAS NEGERI SEMARANG,PENDIDIKAN SENI RUPA,S1,24,57,42.11
UNIVERSITAS NEGERI YOGYAKARTA,PENDIDIKAN SENI RUPA,S1,27,149,18.12
UNIVERSITAS PENDIDIKAN GANESHA,PENDIDIKAN SENI RUPA,S1,15,5,100.0
UNIVERSITAS SEBELAS MARET,PENDIDIKAN SENI RUPA,S1,16,58,27.59
