Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
UNIVERSITAS HALUOLEO,TEKNIK ARSITEKTUR,S1,24,99,24.24
UNIVERSITAS HASANUDDIN,TEKNIK ARSITEKTUR,S1,20,461,4.34
UNIVERSITAS ISLAM NEGERI ALAUDDIN,TEKNIK ARSITEKTUR,S1,30,122,24.59
UNIVERSITAS ISLAM NEGERI MALANG,TEKNIK ARSITEKTUR,S1,45,267,16.85
UNIVERSITAS LAMBUNG MANGKURAT,TEKNIK ARSITEKTUR,S1,18,161,11.18
UNIVERSITAS MALIKUSSALEH,TEKNIK ARSITEKTUR,S1,100,119,84.03
UNIVERSITAS NEGERI GORONTALO,TEKNIK ARSITEKTUR,S1,35,68,51.47
UNIVERSITAS NEGERI SEMARANG,TEKNIK ARSITEKTUR,S1,36,414,8.7
UNIVERSITAS NUSA CENDANA,TEKNIK ARSITEKTUR,S1,20,52,38.46
UNIVERSITAS TADULAKO,TEKNIK ARSITEKTUR,S1,20,105,19.05
UNIVERSITAS TANJUNGPURA,TEKNIK ARSITEKTUR,S1,12,122,9.84
