Universitas,Jurusan,Jenjang,Daya Tampung 2021,Peminat 2020,Persentase
INSTITUT TEKNOLOGI SEPULUH NOPEMBER,DESAIN KOMUNIKASI VISUAL,S1,16,346,4.62
INSTITUT TEKNOLOGI SUMATERA,DESAIN KOMUNIKASI VISUAL,S1,73,102,71.57
ISBI ACEH,DESAIN KOMUNIKASI VISUAL,S1,18,11,100.0
ISBI TANAH PAPUA,DESAIN KOMUNIKASI VISUAL,S1,6,0,100.0
ISI DENPASAR,DESAIN KOMUNIKASI VISUAL,S1,24,73,32.88
ISI SURAKARTA,DESAIN KOMUNIKASI VISUAL,S1,16,183,8.74
ISI YOGYAKARTA,DESAIN KOMUNIKASI VISUAL,S1,27,659,4.1
UNIVERSITAS NEGERI MAKASSAR,DESAIN KOMUNIKASI VISUAL,S1,23,79,29.11
UNIVERSITAS NEGERI MALANG,DESAIN KOMUNIKASI VISUAL,S1,36,385,9.35
UNIVERSITAS NEGERI SURABAYA,DESAIN KOMUNIKASI VISUAL,S1,15,266,5.64
UNIVERSITAS PENDIDIKAN INDONESIA,DESAIN KOMUNIKASI VISUAL,S1,25,373,6.7
UNIVERSITAS SEBELAS MARET,DESAIN KOMUNIKASI VISUAL,S1,20,367,5.45
"UPN ""VETERAN"" JAWA TIMUR",DESAIN KOMUNIKASI VISUAL,S1,32,174,18.39
